server_timestamp,device_id,batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 10/12/2025 03:06:58,1,3,82, 10/12/2025 03:06:58.510,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.511,0,0,22,0.0732
 10/12/2025 03:07:03,1,5,83, 10/12/2025 03:07:03.514,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.515,0,0,31,0.0854
 10/12/2025 03:19:46,1,3,2, 10/12/2025 03:19:46.209,DATA,"24.0,44.9,3.9",127.0.0.1:60037,0.319,0,0,22,0.0358
 10/12/2025 03:19:47,1,5,3, 10/12/2025 03:19:47.210,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:60037,0.317,0,0,31,0.0568
 10/12/2025 03:19:48,1,2,4, 10/12/2025 03:19:48.211,DATA,"24.2,3.8",127.0.0.1:60037,0.316,0,0,17,0.0880
 10/12/2025 03:19:49,1,4,5, 10/12/2025 03:19:49.212,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.307,0,0,26,0.0753
 10/12/2025 03:19:50,1,3,6, 10/12/2025 03:19:50.213,DATA,"24.0,44.9,3.9",127.0.0.1:60037,0.311,0,0,22,0.0790
 10/12/2025 03:19:51,1,5,7, 10/12/2025 03:19:51.214,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:60037,0.322,0,0,31,0.0530
 10/12/2025 03:19:52,1,2,8, 10/12/2025 03:19:52.215,DATA,"24.2,3.8",127.0.0.1:60037,0.32,0,0,17,0.0698
 10/12/2025 03:19:53,1,4,9, 10/12/2025 03:19:53.216,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.31,0,0,26,0.0879
 10/12/2025 03:19:54,1,3,10, 10/12/2025 03:19:54.217,DATA,"24.0,44.9,3.9",127.0.0.1:60037,0.309,0,0,22,0.0905
 10/12/2025 03:19:55,1,5,11, 10/12/2025 03:19:55.219,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:60037,0.319,0,0,31,0.0825
 10/12/2025 03:19:57,1,4,13, 10/12/2025 03:19:57.635,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.728,0,0,26,0.0199
 10/12/2025 03:19:58,1,3,14, 10/12/2025 03:19:58.636,DATA,"24.0,44.9,3.9",127.0.0.1:60037,0.73,0,0,22,0.0801
 10/12/2025 03:19:59,1,5,15, 10/12/2025 03:19:59.637,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:60037,0.735,0,0,31,0.0784
